Database,Schema,ObjectNaam,ObjectType
BI_PRD_Metadata,dbo,AuditProcessError,SQL_STORED_PROCEDURE
SMI_SandBox,smi,OntbrekendeUitgevers,SQL_STORED_PROCEDURE
SMI_SandBox,bkl,Sp_voorlopige_BKL4,SQL_STORED_PROCEDURE
SMI_SandBox,bkl,Sp_voorlopige_BKL3,SQL_STORED_PROCEDURE
SMI_SandBox,bkl,Sp_voorlopige_BKL,SQL_STORED_PROCEDURE
SMI_SandBox,bkl,Sp_voorlopige_BKL2,SQL_STORED_PROCEDURE
LA,ds,URL_ProductDienst,SQL_STORED_PROCEDURE
LA,dbo,sp_Vouchers_tmp,SQL_STORED_PROCEDURE
LA,dbo,sp_Licenties_tmp,SQL_STORED_PROCEDURE
LA,dbo,sp_Gebruik_tmp,SQL_STORED_PROCEDURE
LA,sa,URL_ProductDienst,SQL_STORED_PROCEDURE
thas_Gebruik,ds,LaadRollupMethodPerMethode,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_alterdiagram,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_creatediagram,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_dropdiagram,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_helpdiagramdefinition,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_helpdiagrams,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_renamediagram,SQL_STORED_PROCEDURE
CRMOnline,dbo,sp_upgraddiagrams,SQL_STORED_PROCEDURE
thas_Analytics,ds,LaadWauPerStreamWithContent,SQL_STORED_PROCEDURE
BI_PRD_Metadata,Metadata,AuditProcessError,SQL_STORED_PROCEDURE
BI_PRD_Metadata,Metadata,AuditProcessError_OUD,SQL_STORED_PROCEDURE
BI_PRD_Metadata,ETL,TruncateExecutionLog,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Corrigeer_FctOnderwijsLeerjaarLeerbehoefte,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Corrigeer_FctOnderwijsLeerjaarLeerbehoefte_oud,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Corrigeer_FctOnderwijsVoorTweeTaligOnderwijs,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Update_GebruikMethode_PO_bup,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Update_GebruikMethode_PO_vanuit_DEV_naar_PRD,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Vul_SMI_LicentiesActueel_Docenten,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Vul_SMI_LicentiesActueel_DWH,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,Vul_SMI_LicentiesActueel_DWH_methode,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulConnectionOpportunity,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulDoelgroepData,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulDoelgroepDataVK,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulFctVerkoopkans_2015_2016_Reporting_som,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulFctVerkoopkans_2016_2017_Reporting_fase_VK,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulFctVerkoopkans_2016_2017_Reporting_fase_VK_NU_VS_VR_Type,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulFctVerkoopkans_2016_2017_Reporting_som,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulHub_CRMMethodeFeedSQL,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulHubDoelgroepData,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulHubDoelgroepData_alternatief,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulHubFeedConnections,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulHubFeedWebClicksToOpportunity,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VULTESTDATACRMHUB,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VULTESTDATAEstimate,SQL_STORED_PROCEDURE
BI_PRD_DWH,dbo,VulTussenHandel_opleiding_MBO_hulpfile,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroep,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepAlle,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepData,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepData_new,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepData_oud,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepDataAlle,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepDataKlant,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepDataVK,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepFunctie,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepOpties,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepSelecties,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepType1Docent,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepType2Functie,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepType3VK,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepTypeAlle,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerDoelgroepVK,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerLijst_Marktbewerking_PO_0033_Taal,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerLijst_methodegebruik,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerLijstVK,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerVK,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,CreerVKR,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_CarmelLicenties,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_CarmelLicenties_alternatief,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_CarmelLicenties_NL,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_CarmelLicenties_NL_alternatief,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_CarmelLicenties_NL_alternatief2,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_ContactAdres,SQL_STORED_PROCEDURE
SMI_SandBox,tps,Laad_DimLoc,SQL_STORED_PROCEDURE
SMI_SandBox,tps,Laad_DimUser,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EmailLijst,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EOB_matrix_response,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EOB1Activering,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EOB2GebruikMSP,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EOB2LastVisitMSP,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EOB3Vouchers,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_EOBEmails,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_Factuurregels_AlleKlanten,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_Factuurregels_SIVON,SQL_STORED_PROCEDURE
SMI_SandBox,tps,Laad_LA_vw_tps_lic_alle,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_Licenties_NL,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_Licenties_NL_DOC,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_Locatiedocenten,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_Locatiefuncties,SQL_STORED_PROCEDURE
SMI_SandBox,smi,Laad_LocatieLicenties,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_LRNlineKlant,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_M1NL,SQL_STORED_PROCEDURE
SMI_SandBox,tps,laad_outputLA,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_PO_MO_LIC,SQL_STORED_PROCEDURE
SMI_SandBox,tps,Laad_ScholenPlus,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_TabelMailingResultaat,SQL_STORED_PROCEDURE
SMI_SandBox,dbo,Laad_TabelMailings,SQL_STORED_PROCEDURE
SMI_SandBox,Thas,Laad_ThasEditionBrin,SQL_STORED_PROCEDURE
