Database,Schema,ObjectNaam,ObjectType
thas_Analytics,dbo,View_Levering,VIEW
BI_PRD_Metadata,Audit,View_Audit_Packages,VIEW
BI_PRD_DWH,dbo,View_Datum_SchoolYearToDate,VIEW
BI_PRD_DWH,dbo,View_DimProjectStructuur,VIEW
BI_PRD_DWH,dbo,View_DimCrmAccount,VIEW
BI_PRD_DWH,dbo,FctOnderwijsTweetaligVO,VIEW
BI_PRD_DWH,dbo,View_Boekenlijst_Response_Historisch,VIEW
BI_PRD_DWH,dbo,View_AanbestedingsRelatieNummers,VIEW
BI_PRD_DWH,dbo,View_AanbestedingsDigiDeliveryID,VIEW
BI_PRD_DWH,dbo,View_RelatieHierachie,VIEW
BI_PRD_DWH,dbo,View_LeerbehoefteLocatiePotentieel_Zuiver,VIEW
BI_PRD_DWH,dbo,View_QueryVK_NU_VRGBO,VIEW
BI_PRD_DWH,dbo,View_ActiviteitenDoor,VIEW
BI_PRD_DWH,dbo,View_DimArtikelType,VIEW
BI_PRD_DWH,dbo,View_QueryVK_DatumNU,VIEW
BI_PRD_DWH,dbo,View_DimLeerbehoefte,VIEW
BI_PRD_DWH,dbo,View_Bellijst,VIEW
BI_PRD_DWH,dbo,View_Contact_Adres,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_VO_Methode_2017,VIEW
BI_PRD_DWH,dbo,View_DimGeneriekMethode,VIEW
BI_PRD_DWH,dbo,View_Boekenlijst_Response,VIEW
BI_PRD_DWH,dbo,View_DimCrmAccountKort,VIEW
BI_PRD_DWH,dbo,View_Carmel_VK,VIEW
BI_PRD_DWH,dbo,View_Carmel_Doelgroep,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_2016_2017_NU,VIEW
BI_PRD_DWH,dbo,View_Opleidingen,VIEW
BI_PRD_DWH,dbo,View_Boekenlijst_Response_laatste,VIEW
BI_PRD_DWH,dbo,FctOnderwijsLeerjaarLeerbehoefteMethode_VO,VIEW
BI_PRD_DWH,dbo,View_DimRelatie_Locaties,VIEW
BI_PRD_DWH,dbo,View_Connection,VIEW
BI_PRD_DWH,dbo,View_ConnectionBestContact,VIEW
BI_PRD_DWH,dbo,View_ConnectionContactLabel,VIEW
BI_PRD_DWH,dbo,View_ContactsDirectie,VIEW
BI_PRD_DWH,dbo,View_QueryVK_NU_VRGVO,VIEW
BI_PRD_DWH,dbo,View_Account360_bkl_2020_EAN,VIEW
BI_PRD_DWH,dbo,FctOnderwijsLeerjaarLeerbehoefteMethode_PO,VIEW
BI_PRD_DWH,dbo,View_DimAanbestedingRelatie,VIEW
BI_PRD_SA,dbo,View_ProductInfo,VIEW
BI_PRD_DWH,dbo,View_Leerbehoefte_SA,VIEW
BI_PRD_DWH,dbo,View_QueryOnderwerp,VIEW
BI_PRD_DWH,dbo,View_Account360_map,VIEW
BI_PRD_DWH,dbo,View_DatumBestelSchooljaar,VIEW
BI_PRD_DWH,dbo,View_DimDatum3P,VIEW
BI_PRD_DWH,dbo,View_DimDatum,VIEW
BI_PRD_DWH,dbo,View_DimGrootBoekNiveau,VIEW
BI_PRD_DWH,dbo,View_dmDimContactPersoon,VIEW
BI_PRD_DWH,dbo,View_Doelen_Backward,VIEW
BI_PRD_DWH,dbo,View_Doelen_VerdelingAccounts_details,VIEW
BI_PRD_DWH,dbo,View_BackWardBegroting,VIEW
BI_PRD_DWH,dbo,View_Doelen_FctVerkoopkansVerdelingWK38,VIEW
BI_PRD_DWH,dbo,View_Doelen,VIEW
BI_PRD_DWH,dbo,View_DoelgroepData,VIEW
BI_PRD_DWH,dwh,OrganisatiesDuoActueel,VIEW
BI_PRD_DWH,dbo,View_EmailLijst,VIEW
BI_PRD_DWH,dbo,View_ExamenBundel_PDC,VIEW
BI_PRD_DWH,dbo,View_FctOrder,VIEW
BI_PRD_DWH,dbo,View_Boekenlijst_Response_Historisch_Pivot,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_Doelgroep,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_PO_Methode_2017_VK,VIEW
BI_PRD_DWH,dbo,View_FctSchoolLeerbehoefte,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_PO_TaaSpe_2021,VIEW
BI_PRD_DWH,dbo,View_FctBoekingYtd,VIEW
BI_PRD_DWH,dbo,View_Snappet,VIEW
BI_PRD_DWH,dbo,View_FctOnderwijs,VIEW
BI_PRD_DWH,dbo,View_FctOnderwijsLeerjaarLeerbehoefte,VIEW
BI_PRD_DWH,dbo,FctOnderwijsLeerjaarLeerbehoefteMethode_TSH,VIEW
